tech,col,skin,vso,pso
0,0,0,bd_normal_vs_norm.vso,bd_normal_ps.pso
0,0,1,bd_normal_vs_env.vso,bd_normal_ps.pso
0,1,0,bd_normal_cs_vs_norm.vso,bd_normal_cs_ps.pso
0,1,1,bd_normal_cs_vs_env.vso,bd_normal_cs_ps.pso
0,2,0,bd_shadowmap_vs_norm.vso,bd_shadowmap_ps.pso
0,2,1,bd_shadowmap_vs_env.vso,bd_shadowmap_ps.pso
0,3,0,bd_normal_vs_norm.vso,bd_normal_ps_ref.pso
0,3,1,bd_normal_vs_env.vso,bd_normal_ps_ref.pso
0,4,0,bd_normal_vs_norm.vso,bd_normal_ps.pso
0,4,1,bd_normal_vs_env.vso,bd_normal_ps.pso
0,5,0,bd_cubeshadowmap_vs_norm.vso,bd_cubeshadowmap_ps.pso
0,5,1,bd_cubeshadowmap_vs_env.vso,bd_cubeshadowmap_ps.pso
1,0,0,bd_toon_vs_norm.vso,bd_toon_ps.pso
1,0,1,bd_toon_vs_env.vso,bd_toon_ps.pso
1,1,0,bd_toon_cs_vs_norm.vso,bd_toon_cs_ps.pso
1,1,1,bd_toon_cs_vs_env.vso,bd_toon_cs_ps.pso
1,3,0,bd_toon_vs_norm.vso,bd_toon_ps_ref.pso
1,3,1,bd_toon_vs_env.vso,bd_toon_ps_ref.pso
1,4,0,bd_toon_vs_norm.vso,bd_toon_ps.pso
1,4,1,bd_toon_vs_env.vso,bd_toon_ps.pso
21,0,0,bd_toon_vs_norm.vso,bd_toon_ps_sp.pso
21,0,1,bd_toon_vs_env.vso,bd_toon_ps_sp.pso
21,1,0,bd_toon_cs_vs_norm.vso,bd_toon_cs_ps_sp.pso
21,1,1,bd_toon_cs_vs_env.vso,bd_toon_cs_ps_sp.pso
21,3,0,bd_toon_vs_norm.vso,bd_toon_ps_ref.pso
21,3,1,bd_toon_vs_env.vso,bd_toon_ps_ref.pso
21,4,0,bd_toon_vs_norm.vso,bd_toon_ps_sp.pso
21,4,1,bd_toon_vs_env.vso,bd_toon_ps_sp.pso
22,0,0,bd_toon_vs_norm.vso,bd_toon_ps_nz1.pso
22,0,1,bd_toon_vs_env.vso,bd_toon_ps_nz1.pso
23,0,0,bd_toon_vs_norm.vso,bd_toon_ps_nz2.pso
23,0,1,bd_toon_vs_env.vso,bd_toon_ps_nz2.pso
2,0,0,bd_edge_vs_norm.vso,bd_edge_ps.pso
2,0,1,bd_edge_vs_env.vso,bd_edge_ps.pso
4,0,0,bd_cloud_vs.vso,bd_cloud_ps.pso
4,3,0,bd_cloud_vs.vso,bd_cloud_ps_ref.pso
3,0,0,bd_normal_vs_wind.vso,bd_normal_ps_wind.pso
3,1,0,bd_normal_cs_vs_wind.vso,bd_normal_cs_ps.pso
3,2,0,bd_shadowmap_vs_wind.vso,bd_shadowmap_ps.pso
3,3,0,bd_normal_vs_wind.vso,bd_normal_ps_ref.pso
3,5,0,bd_cubeshadowmap_vs_wind.vso,bd_cubeshadowmap_ps.pso
5,0,0,bd_water_vs.vso,bd_water_ps.pso
5,1,0,bd_water_cs_vs.vso,bd_water_cs_ps.pso
6,0,0,bd_normal_vs_effect_norm.vso,bd_normal_ps_effect.pso
6,0,1,bd_normal_vs_effect_env.vso,bd_normal_ps_effect.pso
6,1,0,bd_normal_vs_effect_norm.vso,bd_normal_ps_effect.pso
6,1,1,bd_normal_vs_effect_env.vso,bd_normal_ps_effect.pso
6,3,0,bd_normal_vs_effect_norm.vso,bd_normal_ps_effect_ref.pso
